"VAR","Variable","UNIT","Measure","COU","Country","YEA","Year","Value","Flag Codes","Flags"
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2010","2010",50.2,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2011","2011",50.2,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2012","2012",50.2,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2013","2013",50.3,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2014","2014",50.3,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2015","2015",50.3,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2016","2016",50.4,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2017","2017",50.4,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2018","2018",50.4,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2019","2019",50.4,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2020","2020",50.4,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2021","2021",50.4,,
"DEMOFEMP","Female population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2022","2022",50.4,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2010","2010",49.8,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2011","2011",49.8,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2012","2012",49.8,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2013","2013",49.7,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2014","2014",49.7,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2015","2015",49.7,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2016","2016",49.6,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2017","2017",49.6,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2018","2018",49.6,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2019","2019",49.6,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2020","2020",49.6,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2021","2021",49.6,,
"DEMOMALP","Male population, incl. France Metropolitan + D.O.M. (overseas departments)","TOTPOPTX","% of total population","AUS","Australia","2022","2022",49.6,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2010","2010",13.6,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2011","2011",13.8,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2012","2012",14.1,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2013","2013",14.4,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2014","2014",14.7,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2015","2015",14.9,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2016","2016",15.2,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2017","2017",15.4,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2018","2018",15.7,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2019","2019",15.9,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2020","2020",16.4,,
"STRUSFPL","Population: 65 years old and over","TOTPOPTX","% of total population","AUS","Australia","2021","2021",16.9,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2010","2010",3.7,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2011","2011",3.8,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2012","2012",3.8,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2013","2013",3.8,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2014","2014",3.8,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2015","2015",3.9,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2016","2016",3.9,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2017","2017",3.9,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2018","2018",3.9,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2019","2019",4,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2020","2020",4.1,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2021","2021",4.2,,
"STRUPP80","Population: 80 years old and over","TOTPOPTX","% of total population","AUS","Australia","2022","2022",4.3,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2010","2010",50.8,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2011","2011",51,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2012","2012",50.5,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2013","2013",50,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2014","2014",50.2,,
"JOBSCIVL","Total civilian employment","TOTPOPTX","% of total population","AUS","Australia","2015","2015",50.4,,
